,feature,score
1047,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_10|U_100m",-1194.6259774938226
1476,"value__fft_coefficient__coeff_8__attr_""abs""|U_10m",-1174.4604234215803
1965,value__ratio_beyond_r_sigma__r_1.5|CLCT,-1166.5626549684675
265,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""slope""|U_10m",-1059.3751668890473
323,value__ar_coefficient__k_10__coeff_3|T,-1047.9252336447826
714,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0|U_100m",-1014.1369444973534
140,"value__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""slope""|V_100m",-998.5855426280759
1102,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_2|U_10m",-989.259584207437
1388,"value__fft_coefficient__coeff_4__attr_""angle""|V_10m",-943.630745756207
983,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_1__w_2|V_100m",-937.2588212854462
2166,value__time_reversal_asymmetry_statistic__lag_1|U_10m,-918.0453938584542
1368,"value__fft_coefficient__coeff_3__attr_""imag""|U_10m",-880.9368682050845
444,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0|U_100m",-879.8870875453576
227,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""stderr""|T",-874.0522601562552
1059,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_20|U_100m",-873.4297158113914
1423,"value__fft_coefficient__coeff_5__attr_""real""|V_100m",-865.3000190728344
526,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0|CLCT",-859.9534617583267
1490,"value__fft_coefficient__coeff_8__attr_""imag""|V_10m",-807.3423612434417
1428,"value__fft_coefficient__coeff_6__attr_""abs""|U_10m",-781.3297730305931
1999,value__sample_entropy|V_100m,-780.7682624451118
691,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4|U_10m",-765.3877551020123
2013,value__spkt_welch_density__coeff_5|CLCT,-742.5123021169566
1618,value__kurtosis|U_100m,-735.4567995420657
749,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2|T",-725.0078199503478
1922,value__quantile__q_0.6|V_100m,-721.6143429332878
134,"value__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""rvalue""|V_100m",-708.0892618728103
1846,value__partial_autocorrelation__lag_4|CLCT,-706.0141140568303
488,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4|V_100m",-648.0320427234983
1508,"value__fft_coefficient__coeff_9__attr_""angle""|V_10m",-633.5304215144133
962,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_20|T",-577.3549494561739
193,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""intercept""|U_10m",-575.1943543772213
377,value__autocorrelation__lag_4|T,-567.2599656684324
287,value__approximate_entropy__m_2__r_0.5|T,-561.3152775128838
1117,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_10|CLCT",-526.587068472174
2020,value__spkt_welch_density__coeff_8|T,-521.2405111576663
408,value__autocorrelation__lag_9|U_100m,-516.8582872399129
957,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_14__w_2|U_100m",-506.2628266259562
1725,value__longest_strike_above_mean|T,-502.4054930382408
888,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_2|V_10m",-488.9780659927055
310,value__ar_coefficient__k_10__coeff_1|CLCT,-474.57409879844636
1382,"value__fft_coefficient__coeff_4__attr_""abs""|V_10m",-467.57962998282164
567,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0|V_10m",-459.7062750332989
435,value__c3__lag_3|V_10m,-452.5042914361693
1061,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_20|V_100m",-448.31737554830033
1181,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_20|V_100m",-429.824146480998
1301,"value__fft_coefficient__coeff_10__attr_""real""|U_100m",-417.7150486363098
1152,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_2|V_10m",-410.70837306883186
864,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_10__w_2|V_10m",-402.72515735263005
312,value__ar_coefficient__k_10__coeff_1|U_100m,-396.20675185951404
175,"value__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""rvalue""|U_10m",-387.8695403393358
2169,value__time_reversal_asymmetry_statistic__lag_2|CLCT,-387.5277512874454
324,value__ar_coefficient__k_10__coeff_3|U_100m,-368.58287240134086
1213,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4|CLCT,-361.19778752618004
786,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6|U_100m",-349.8455082967412
1336,"value__fft_coefficient__coeff_2__attr_""angle""|T",-348.67366011813283
232,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""intercept""|CLCT",-345.1703223345103
1054,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_2|U_10m",-337.516688918462
686,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2|V_100m",-322.13618157536257
1424,"value__fft_coefficient__coeff_5__attr_""real""|V_10m",-297.33206179656554
1302,"value__fft_coefficient__coeff_10__attr_""real""|U_10m",-280.633225252619
1511,"value__fft_coefficient__coeff_9__attr_""imag""|U_100m",-265.4480259391712
843,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20|U_100m",-264.8865153538063
282,value__approximate_entropy__m_2__r_0.3|U_100m,-239.59412550064735
2016,value__spkt_welch_density__coeff_5|U_10m,-235.73679191293195
1840,value__partial_autocorrelation__lag_3|CLCT,-231.4278085065307
1422,"value__fft_coefficient__coeff_5__attr_""real""|U_10m",-229.14514590869658
1042,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_5|U_10m",-229.0230783901643
588,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0|U_100m",-228.8888041197788
998,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_10|T",-221.19855044817086
1996,value__sample_entropy|T,-217.0604615677148
1151,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_2|V_100m",-217.0604615677148
208,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""|CLCT",-212.76368491305038
186,"value__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""stderr""|U_100m",-198.0545489223441
320,value__ar_coefficient__k_10__coeff_2|V_100m,-173.79973297729157
1371,"value__fft_coefficient__coeff_3__attr_""real""|CLCT",-164.8888041197788
1495,"value__fft_coefficient__coeff_8__attr_""real""|V_100m",-163.70474918931723
1092,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_5__w_5|V_10m",-161.5929811175447
1229,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6|V_100m,-160.20141140557826
1351,"value__fft_coefficient__coeff_2__attr_""real""|V_100m",-155.05016212083865
1191,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0|U_100m,-141.3053595268866
1010,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_20|T",-140.2799923706334
441,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0|V_10m",-119.84588975773659
1878,value__partial_autocorrelation__lag_9|U_100m,-117.07495708554052
1419,"value__fft_coefficient__coeff_5__attr_""real""|CLCT",-107.18748807918746
1329,"value__fft_coefficient__coeff_2__attr_""abs""|CLCT",-75.60862101847306
1330,"value__fft_coefficient__coeff_2__attr_""abs""|T",-73.94850276550278
1425,"value__fft_coefficient__coeff_6__attr_""abs""|CLCT",-73.67995422461536
1857,value__partial_autocorrelation__lag_5|V_10m,-72.99637612048537
1076,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_5__w_2|T",-67.02727446099743
1913,value__quantile__q_0.4|T,-65.28170894505456
194,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""intercept""|V_100m",-65.01316040428355
1369,"value__fft_coefficient__coeff_3__attr_""imag""|V_100m",-62.66946404718328
13,U_10m_last_month,-61.9004386800807
210,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""|U_100m",-61.41216860571876
423,value__c3__lag_1|V_10m,-58.201792866690084
366,value__autocorrelation__lag_2|U_100m,-52.95288956700824
1879,value__partial_autocorrelation__lag_9|U_10m,-48.778180430992506
802,value__cid_ce__normalize_True|CLCT,-48.570665649254806
414,value__binned_entropy__max_bins_10|U_100m,-47.89929429721087
6,CLCT_last_week,-45.116154872928746
256,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""rvalue""|CLCT",-37.43810795340687
