,feature,score
2150,value__symmetry_looking__r_0.8500000000000001|V_10m,0.0
2136,value__symmetry_looking__r_0.75|U_10m,0.0
2134,value__symmetry_looking__r_0.75|T,0.0
2133,value__symmetry_looking__r_0.75|CLCT,0.0
2132,value__symmetry_looking__r_0.7000000000000001|V_10m,0.0
2131,value__symmetry_looking__r_0.7000000000000001|V_100m,0.0
2130,value__symmetry_looking__r_0.7000000000000001|U_10m,0.0
2129,value__symmetry_looking__r_0.7000000000000001|U_100m,0.0
2128,value__symmetry_looking__r_0.7000000000000001|T,0.0
2127,value__symmetry_looking__r_0.7000000000000001|CLCT,0.0
2126,value__symmetry_looking__r_0.65|V_10m,0.0
2125,value__symmetry_looking__r_0.65|V_100m,0.0
2124,value__symmetry_looking__r_0.65|U_10m,0.0
2123,value__symmetry_looking__r_0.65|U_100m,0.0
2122,value__symmetry_looking__r_0.65|T,0.0
2135,value__symmetry_looking__r_0.75|U_100m,0.0
2151,value__symmetry_looking__r_0.9|CLCT,0.0
2152,value__symmetry_looking__r_0.9|T,0.0
2153,value__symmetry_looking__r_0.9|U_100m,0.0
2191,value__variance_larger_than_standard_deviation|U_10m,0.0
2190,value__variance_larger_than_standard_deviation|U_100m,0.0
2189,value__variance_larger_than_standard_deviation|T,0.0
2188,value__variance_larger_than_standard_deviation|CLCT,0.0
2186,value__variance|V_100m,0.0
2185,value__variance|U_10m,0.0
2184,value__variance|U_100m,0.0
2183,value__variance|T,0.0
2182,value__variance|CLCT,0.0
2181,value__value_count__value_0|CLCT,0.0
2180,value__time_reversal_asymmetry_statistic__lag_3|V_10m,0.0
2178,value__time_reversal_asymmetry_statistic__lag_3|U_10m,0.0
2176,value__time_reversal_asymmetry_statistic__lag_3|T,0.0
2175,value__time_reversal_asymmetry_statistic__lag_3|CLCT,0.0
2173,value__time_reversal_asymmetry_statistic__lag_2|V_100m,0.0
2172,value__time_reversal_asymmetry_statistic__lag_2|U_10m,0.0
2171,value__time_reversal_asymmetry_statistic__lag_2|U_100m,0.0
2170,value__time_reversal_asymmetry_statistic__lag_2|T,0.0
2168,value__time_reversal_asymmetry_statistic__lag_1|V_10m,0.0
2163,value__time_reversal_asymmetry_statistic__lag_1|CLCT,0.0
2162,value__symmetry_looking__r_0.9500000000000001|V_10m,0.0
2161,value__symmetry_looking__r_0.9500000000000001|V_100m,0.0
2160,value__symmetry_looking__r_0.9500000000000001|U_10m,0.0
2159,value__symmetry_looking__r_0.9500000000000001|U_100m,0.0
2158,value__symmetry_looking__r_0.9500000000000001|T,0.0
2157,value__symmetry_looking__r_0.9500000000000001|CLCT,0.0
2156,value__symmetry_looking__r_0.9|V_10m,0.0
2155,value__symmetry_looking__r_0.9|V_100m,0.0
2154,value__symmetry_looking__r_0.9|U_10m,0.0
2121,value__symmetry_looking__r_0.65|CLCT,0.0
2055,value__symmetry_looking__r_0.1|CLCT,0.0
2120,value__symmetry_looking__r_0.6000000000000001|V_10m,0.0
2118,value__symmetry_looking__r_0.6000000000000001|U_10m,0.0
2084,value__symmetry_looking__r_0.30000000000000004|V_10m,0.0
2083,value__symmetry_looking__r_0.30000000000000004|V_100m,0.0
2082,value__symmetry_looking__r_0.30000000000000004|U_10m,0.0
2081,value__symmetry_looking__r_0.30000000000000004|U_100m,0.0
2080,value__symmetry_looking__r_0.30000000000000004|T,0.0
2079,value__symmetry_looking__r_0.30000000000000004|CLCT,0.0
2078,value__symmetry_looking__r_0.25|V_10m,0.0
2077,value__symmetry_looking__r_0.25|V_100m,0.0
2076,value__symmetry_looking__r_0.25|U_10m,0.0
2075,value__symmetry_looking__r_0.25|U_100m,0.0
2074,value__symmetry_looking__r_0.25|T,0.0
2073,value__symmetry_looking__r_0.25|CLCT,0.0
2072,value__symmetry_looking__r_0.2|V_10m,0.0
2085,value__symmetry_looking__r_0.35000000000000003|CLCT,0.0
2071,value__symmetry_looking__r_0.2|V_100m,0.0
2069,value__symmetry_looking__r_0.2|U_100m,0.0
2068,value__symmetry_looking__r_0.2|T,0.0
2067,value__symmetry_looking__r_0.2|CLCT,0.0
2066,value__symmetry_looking__r_0.15000000000000002|V_10m,0.0
2065,value__symmetry_looking__r_0.15000000000000002|V_100m,0.0
2064,value__symmetry_looking__r_0.15000000000000002|U_10m,0.0
2063,value__symmetry_looking__r_0.15000000000000002|U_100m,0.0
2062,value__symmetry_looking__r_0.15000000000000002|T,0.0
2061,value__symmetry_looking__r_0.15000000000000002|CLCT,0.0
2060,value__symmetry_looking__r_0.1|V_10m,0.0
2059,value__symmetry_looking__r_0.1|V_100m,0.0
2058,value__symmetry_looking__r_0.1|U_10m,0.0
2057,value__symmetry_looking__r_0.1|U_100m,0.0
2070,value__symmetry_looking__r_0.2|U_10m,0.0
2086,value__symmetry_looking__r_0.35000000000000003|T,0.0
2087,value__symmetry_looking__r_0.35000000000000003|U_100m,0.0
2088,value__symmetry_looking__r_0.35000000000000003|U_10m,0.0
2117,value__symmetry_looking__r_0.6000000000000001|U_100m,0.0
2116,value__symmetry_looking__r_0.6000000000000001|T,0.0
2115,value__symmetry_looking__r_0.6000000000000001|CLCT,0.0
2114,value__symmetry_looking__r_0.55|V_10m,0.0
2113,value__symmetry_looking__r_0.55|V_100m,0.0
2112,value__symmetry_looking__r_0.55|U_10m,0.0
2111,value__symmetry_looking__r_0.55|U_100m,0.0
2110,value__symmetry_looking__r_0.55|T,0.0
2109,value__symmetry_looking__r_0.55|CLCT,0.0
2108,value__symmetry_looking__r_0.5|V_10m,0.0
2107,value__symmetry_looking__r_0.5|V_100m,0.0
2106,value__symmetry_looking__r_0.5|U_10m,0.0
2105,value__symmetry_looking__r_0.5|U_100m,0.0
2104,value__symmetry_looking__r_0.5|T,0.0
2103,value__symmetry_looking__r_0.5|CLCT,0.0
2102,value__symmetry_looking__r_0.45|V_10m,0.0
2101,value__symmetry_looking__r_0.45|V_100m,0.0
2100,value__symmetry_looking__r_0.45|U_10m,0.0
2099,value__symmetry_looking__r_0.45|U_100m,0.0
2098,value__symmetry_looking__r_0.45|T,0.0
2097,value__symmetry_looking__r_0.45|CLCT,0.0
2096,value__symmetry_looking__r_0.4|V_10m,0.0
2095,value__symmetry_looking__r_0.4|V_100m,0.0
2094,value__symmetry_looking__r_0.4|U_10m,0.0
2093,value__symmetry_looking__r_0.4|U_100m,0.0
2092,value__symmetry_looking__r_0.4|T,0.0
2091,value__symmetry_looking__r_0.4|CLCT,0.0
2090,value__symmetry_looking__r_0.35000000000000003|V_10m,0.0
2089,value__symmetry_looking__r_0.35000000000000003|V_100m,0.0
2119,value__symmetry_looking__r_0.6000000000000001|V_100m,0.0
1631,value__large_standard_deviation__r_0.1|U_10m,0.0
1911,value__quantile__q_0.3|V_10m,0.0
1909,value__quantile__q_0.3|U_10m,0.0
1728,value__longest_strike_above_mean|V_100m,0.0
1727,value__longest_strike_above_mean|U_10m,0.0
1726,value__longest_strike_above_mean|U_100m,0.0
1724,value__longest_strike_above_mean|CLCT,0.0
1723,"value__linear_trend__attr_""stderr""|V_10m",0.0
1721,"value__linear_trend__attr_""stderr""|U_10m",0.0
1720,"value__linear_trend__attr_""stderr""|U_100m",0.0
1719,"value__linear_trend__attr_""stderr""|T",0.0
1718,"value__linear_trend__attr_""stderr""|CLCT",0.0
1717,"value__linear_trend__attr_""slope""|V_10m",0.0
1716,"value__linear_trend__attr_""slope""|V_100m",0.0
1715,"value__linear_trend__attr_""slope""|U_10m",0.0
1714,"value__linear_trend__attr_""slope""|U_100m",0.0
1729,value__longest_strike_above_mean|V_10m,0.0
1713,"value__linear_trend__attr_""slope""|T",0.0
1711,"value__linear_trend__attr_""rvalue""|V_10m",0.0
1710,"value__linear_trend__attr_""rvalue""|V_100m",0.0
1709,"value__linear_trend__attr_""rvalue""|U_10m",0.0
1708,"value__linear_trend__attr_""rvalue""|U_100m",0.0
1706,"value__linear_trend__attr_""rvalue""|CLCT",0.0
1705,"value__linear_trend__attr_""pvalue""|V_10m",0.0
1704,"value__linear_trend__attr_""pvalue""|V_100m",0.0
1703,"value__linear_trend__attr_""pvalue""|U_10m",0.0
1702,"value__linear_trend__attr_""pvalue""|U_100m",0.0
1701,"value__linear_trend__attr_""pvalue""|T",0.0
1700,"value__linear_trend__attr_""pvalue""|CLCT",0.0
1699,"value__linear_trend__attr_""intercept""|V_10m",0.0
1698,"value__linear_trend__attr_""intercept""|V_100m",0.0
1712,"value__linear_trend__attr_""slope""|CLCT",0.0
1730,value__longest_strike_below_mean|CLCT,0.0
1731,value__longest_strike_below_mean|T,0.0
1732,value__longest_strike_below_mean|U_100m,0.0
1761,value__mean_change|T,0.0
1760,value__mean_change|CLCT,0.0
1759,value__mean_abs_change|V_10m,0.0
1758,value__mean_abs_change|V_100m,0.0
1757,value__mean_abs_change|U_10m,0.0
1756,value__mean_abs_change|U_100m,0.0
1755,value__mean_abs_change|T,0.0
1754,value__mean_abs_change|CLCT,0.0
1753,value__mean|V_10m,0.0
1752,value__mean|V_100m,0.0
1751,value__mean|U_10m,0.0
1750,value__mean|U_100m,0.0
1749,value__mean|T,0.0
1748,value__mean|CLCT,0.0
1747,value__maximum|V_10m,0.0
1746,value__maximum|V_100m,0.0
1745,value__maximum|U_10m,0.0
1744,value__maximum|U_100m,0.0
1743,value__maximum|T,0.0
1742,value__maximum|CLCT,0.0
1741,value__max_langevin_fixed_point__m_3__r_30|V_10m,0.0
1740,value__max_langevin_fixed_point__m_3__r_30|V_100m,0.0
1739,value__max_langevin_fixed_point__m_3__r_30|U_10m,0.0
1738,value__max_langevin_fixed_point__m_3__r_30|U_100m,0.0
1737,value__max_langevin_fixed_point__m_3__r_30|T,0.0
1736,value__max_langevin_fixed_point__m_3__r_30|CLCT,0.0
1735,value__longest_strike_below_mean|V_10m,0.0
1734,value__longest_strike_below_mean|V_100m,0.0
1733,value__longest_strike_below_mean|U_10m,0.0
1697,"value__linear_trend__attr_""intercept""|U_10m",0.0
1762,value__mean_change|U_100m,0.0
1696,"value__linear_trend__attr_""intercept""|U_100m",0.0
1694,"value__linear_trend__attr_""intercept""|CLCT",0.0
1660,value__large_standard_deviation__r_0.35000000000000003|U_100m,0.0
1659,value__large_standard_deviation__r_0.35000000000000003|T,0.0
1658,value__large_standard_deviation__r_0.35000000000000003|CLCT,0.0
1657,value__large_standard_deviation__r_0.30000000000000004|V_10m,0.0
1656,value__large_standard_deviation__r_0.30000000000000004|V_100m,0.0
1655,value__large_standard_deviation__r_0.30000000000000004|U_10m,0.0
1654,value__large_standard_deviation__r_0.30000000000000004|U_100m,0.0
1653,value__large_standard_deviation__r_0.30000000000000004|T,0.0
1652,value__large_standard_deviation__r_0.30000000000000004|CLCT,0.0
1651,value__large_standard_deviation__r_0.25|V_10m,0.0
1650,value__large_standard_deviation__r_0.25|V_100m,0.0
1649,value__large_standard_deviation__r_0.25|U_10m,0.0
1648,value__large_standard_deviation__r_0.25|U_100m,0.0
1661,value__large_standard_deviation__r_0.35000000000000003|U_10m,0.0
1647,value__large_standard_deviation__r_0.25|T,0.0
1645,value__large_standard_deviation__r_0.2|V_10m,0.0
1644,value__large_standard_deviation__r_0.2|V_100m,0.0
1643,value__large_standard_deviation__r_0.2|U_10m,0.0
1642,value__large_standard_deviation__r_0.2|U_100m,0.0
1641,value__large_standard_deviation__r_0.2|T,0.0
1640,value__large_standard_deviation__r_0.2|CLCT,0.0
1639,value__large_standard_deviation__r_0.15000000000000002|V_10m,0.0
1638,value__large_standard_deviation__r_0.15000000000000002|V_100m,0.0
1637,value__large_standard_deviation__r_0.15000000000000002|U_10m,0.0
1636,value__large_standard_deviation__r_0.15000000000000002|U_100m,0.0
1635,value__large_standard_deviation__r_0.15000000000000002|T,0.0
1634,value__large_standard_deviation__r_0.15000000000000002|CLCT,0.0
1633,value__large_standard_deviation__r_0.1|V_10m,0.0
1646,value__large_standard_deviation__r_0.25|CLCT,0.0
1662,value__large_standard_deviation__r_0.35000000000000003|V_100m,0.0
1663,value__large_standard_deviation__r_0.35000000000000003|V_10m,0.0
1664,value__large_standard_deviation__r_0.4|CLCT,0.0
1693,value__length|V_10m,0.0
1692,value__length|V_100m,0.0
1691,value__length|U_10m,0.0
1690,value__length|U_100m,0.0
1689,value__length|T,0.0
1688,value__length|CLCT,0.0
1687,value__last_location_of_minimum|V_10m,0.0
1686,value__last_location_of_minimum|V_100m,0.0
1685,value__last_location_of_minimum|U_10m,0.0
1684,value__last_location_of_minimum|U_100m,0.0
1683,value__last_location_of_minimum|T,0.0
1682,value__last_location_of_minimum|CLCT,0.0
1681,value__last_location_of_maximum|V_10m,0.0
1680,value__last_location_of_maximum|V_100m,0.0
1679,value__last_location_of_maximum|U_10m,0.0
1678,value__last_location_of_maximum|U_100m,0.0
1677,value__last_location_of_maximum|T,0.0
1143,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10|U_100m",0.0
1675,value__large_standard_deviation__r_0.45|V_10m,0.0
1674,value__large_standard_deviation__r_0.45|V_100m,0.0
1673,value__large_standard_deviation__r_0.45|U_10m,0.0
1672,value__large_standard_deviation__r_0.45|U_100m,0.0
1671,value__large_standard_deviation__r_0.45|T,0.0
1670,value__large_standard_deviation__r_0.45|CLCT,0.0
1669,value__large_standard_deviation__r_0.4|V_10m,0.0
1668,value__large_standard_deviation__r_0.4|V_100m,0.0
1667,value__large_standard_deviation__r_0.4|U_10m,0.0
1666,value__large_standard_deviation__r_0.4|U_100m,0.0
1665,value__large_standard_deviation__r_0.4|T,0.0
1695,"value__linear_trend__attr_""intercept""|T",0.0
1910,value__quantile__q_0.3|V_100m,0.0
1763,value__mean_change|U_10m,0.0
1765,value__mean_change|V_10m,0.0
1869,value__partial_autocorrelation__lag_7|V_10m,0.0
1868,value__partial_autocorrelation__lag_7|V_100m,0.0
1867,value__partial_autocorrelation__lag_7|U_10m,0.0
1866,value__partial_autocorrelation__lag_7|U_100m,0.0
1865,value__partial_autocorrelation__lag_7|T,0.0
1864,value__partial_autocorrelation__lag_7|CLCT,0.0
1863,value__partial_autocorrelation__lag_6|V_10m,0.0
1862,value__partial_autocorrelation__lag_6|V_100m,0.0
1861,value__partial_autocorrelation__lag_6|U_10m,0.0
1859,value__partial_autocorrelation__lag_6|T,0.0
1858,value__partial_autocorrelation__lag_6|CLCT,0.0
1856,value__partial_autocorrelation__lag_5|V_100m,0.0
1855,value__partial_autocorrelation__lag_5|U_10m,0.0
1870,value__partial_autocorrelation__lag_8|CLCT,0.0
1854,value__partial_autocorrelation__lag_5|U_100m,0.0
1850,value__partial_autocorrelation__lag_4|V_100m,0.0
1849,value__partial_autocorrelation__lag_4|U_10m,0.0
1848,value__partial_autocorrelation__lag_4|U_100m,0.0
1847,value__partial_autocorrelation__lag_4|T,0.0
1845,value__partial_autocorrelation__lag_3|V_10m,0.0
1843,value__partial_autocorrelation__lag_3|U_10m,0.0
1842,value__partial_autocorrelation__lag_3|U_100m,0.0
1841,value__partial_autocorrelation__lag_3|T,0.0
1839,value__partial_autocorrelation__lag_2|V_10m,0.0
1838,value__partial_autocorrelation__lag_2|V_100m,0.0
1837,value__partial_autocorrelation__lag_2|U_10m,0.0
1836,value__partial_autocorrelation__lag_2|U_100m,0.0
1835,value__partial_autocorrelation__lag_2|T,0.0
1853,value__partial_autocorrelation__lag_5|T,0.0
1871,value__partial_autocorrelation__lag_8|T,0.0
1872,value__partial_autocorrelation__lag_8|U_100m,0.0
1873,value__partial_autocorrelation__lag_8|U_10m,0.0
1908,value__quantile__q_0.3|U_100m,0.0
1906,value__quantile__q_0.3|CLCT,0.0
1905,value__quantile__q_0.2|V_10m,0.0
1904,value__quantile__q_0.2|V_100m,0.0
1903,value__quantile__q_0.2|U_10m,0.0
1902,value__quantile__q_0.2|U_100m,0.0
1901,value__quantile__q_0.2|T,0.0
1900,value__quantile__q_0.2|CLCT,0.0
1899,value__quantile__q_0.1|V_10m,0.0
1896,value__quantile__q_0.1|U_100m,0.0
1895,value__quantile__q_0.1|T,0.0
1894,value__quantile__q_0.1|CLCT,0.0
1893,value__percentage_of_reoccurring_values_to_all_values|V_10m,0.0
1892,value__percentage_of_reoccurring_values_to_all_values|V_100m,0.0
1891,value__percentage_of_reoccurring_values_to_all_values|U_10m,0.0
1890,value__percentage_of_reoccurring_values_to_all_values|U_100m,0.0
1889,value__percentage_of_reoccurring_values_to_all_values|T,0.0
1888,value__percentage_of_reoccurring_values_to_all_values|CLCT,0.0
1887,value__percentage_of_reoccurring_datapoints_to_all_datapoints|V_10m,0.0
1886,value__percentage_of_reoccurring_datapoints_to_all_datapoints|V_100m,0.0
1885,value__percentage_of_reoccurring_datapoints_to_all_datapoints|U_10m,0.0
1884,value__percentage_of_reoccurring_datapoints_to_all_datapoints|U_100m,0.0
1883,value__percentage_of_reoccurring_datapoints_to_all_datapoints|T,0.0
1882,value__percentage_of_reoccurring_datapoints_to_all_datapoints|CLCT,0.0
1881,value__partial_autocorrelation__lag_9|V_10m,0.0
1880,value__partial_autocorrelation__lag_9|V_100m,0.0
1877,value__partial_autocorrelation__lag_9|T,0.0
1876,value__partial_autocorrelation__lag_9|CLCT,0.0
1874,value__partial_autocorrelation__lag_8|V_100m,0.0
1834,value__partial_autocorrelation__lag_2|CLCT,0.0
1764,value__mean_change|V_100m,0.0
1833,value__partial_autocorrelation__lag_1|V_10m,0.0
1831,value__partial_autocorrelation__lag_1|U_10m,0.0
1797,value__number_crossing_m__m_1|V_10m,0.0
1796,value__number_crossing_m__m_1|V_100m,0.0
1795,value__number_crossing_m__m_1|U_10m,0.0
1794,value__number_crossing_m__m_1|U_100m,0.0
1793,value__number_crossing_m__m_1|CLCT,0.0
1792,value__number_crossing_m__m_0|V_10m,0.0
1791,value__number_crossing_m__m_0|V_100m,0.0
1790,value__number_crossing_m__m_0|U_10m,0.0
1789,value__number_crossing_m__m_0|U_100m,0.0
1788,value__number_crossing_m__m_0|CLCT,0.0
1787,value__number_crossing_m__m_-1|V_10m,0.0
1786,value__number_crossing_m__m_-1|V_100m,0.0
1785,value__number_crossing_m__m_-1|U_10m,0.0
1798,value__number_cwt_peaks__n_1|CLCT,0.0
1784,value__number_crossing_m__m_-1|U_100m,0.0
1779,value__minimum|T,0.0
1778,value__minimum|CLCT,0.0
1777,value__median|V_10m,0.0
1776,value__median|V_100m,0.0
1775,value__median|U_10m,0.0
1774,value__median|U_100m,0.0
1773,value__median|T,0.0
1772,value__median|CLCT,0.0
1770,value__mean_second_derivative_central|V_100m,0.0
1769,value__mean_second_derivative_central|U_10m,0.0
1768,value__mean_second_derivative_central|U_100m,0.0
1767,value__mean_second_derivative_central|T,0.0
1766,value__mean_second_derivative_central|CLCT,0.0
1780,value__minimum|U_100m,0.0
1799,value__number_cwt_peaks__n_1|T,0.0
1800,value__number_cwt_peaks__n_1|U_100m,0.0
1801,value__number_cwt_peaks__n_1|U_10m,0.0
1830,value__partial_autocorrelation__lag_1|U_100m,0.0
1829,value__partial_autocorrelation__lag_1|T,0.0
1828,value__partial_autocorrelation__lag_1|CLCT,0.0
1827,value__number_peaks__n_5|V_10m,0.0
1826,value__number_peaks__n_5|V_100m,0.0
1825,value__number_peaks__n_5|U_10m,0.0
1824,value__number_peaks__n_5|U_100m,0.0
1823,value__number_peaks__n_5|T,0.0
1822,value__number_peaks__n_5|CLCT,0.0
1821,value__number_peaks__n_3|V_10m,0.0
1820,value__number_peaks__n_3|V_100m,0.0
1819,value__number_peaks__n_3|U_10m,0.0
1818,value__number_peaks__n_3|U_100m,0.0
1817,value__number_peaks__n_3|T,0.0
1816,value__number_peaks__n_3|CLCT,0.0
1815,value__number_peaks__n_1|V_10m,0.0
1814,value__number_peaks__n_1|V_100m,0.0
1813,value__number_peaks__n_1|U_10m,0.0
1812,value__number_peaks__n_1|U_100m,0.0
1811,value__number_peaks__n_1|T,0.0
1810,value__number_peaks__n_1|CLCT,0.0
1809,value__number_cwt_peaks__n_5|V_10m,0.0
1808,value__number_cwt_peaks__n_5|V_100m,0.0
1807,value__number_cwt_peaks__n_5|U_10m,0.0
1806,value__number_cwt_peaks__n_5|U_100m,0.0
1805,value__number_cwt_peaks__n_5|T,0.0
1804,value__number_cwt_peaks__n_5|CLCT,0.0
1803,value__number_cwt_peaks__n_1|V_10m,0.0
1802,value__number_cwt_peaks__n_1|V_100m,0.0
1832,value__partial_autocorrelation__lag_1|V_100m,0.0
1142,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10|T",0.0
1096,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_10|U_10m",0.0
1140,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_5|V_10m",0.0
540,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2|U_100m",0.0
538,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2|CLCT",0.0
537,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0|V_10m",0.0
536,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0|V_100m",0.0
535,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0|U_10m",0.0
534,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0|U_100m",0.0
533,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0|T",0.0
532,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0|CLCT",0.0
531,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0|V_10m",0.0
530,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0|V_100m",0.0
541,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2|U_10m",0.0
529,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0|U_10m",0.0
527,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0|T",0.0
525,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8|V_10m",0.0
523,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8|U_10m",0.0
522,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8|U_100m",0.0
520,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8|CLCT",0.0
519,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6|V_10m",0.0
518,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6|V_100m",0.0
517,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6|U_10m",0.0
516,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6|U_100m",0.0
515,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6|T",0.0
528,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0|U_100m",0.0
542,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2|V_100m",0.0
543,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2|V_10m",0.0
544,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0|CLCT",0.0
568,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2|CLCT",0.0
566,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0|V_100m",0.0
565,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0|U_10m",0.0
564,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0|U_100m",0.0
563,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0|T",0.0
562,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0|CLCT",0.0
561,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4|V_10m",0.0
560,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4|V_100m",0.0
559,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4|U_10m",0.0
558,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4|U_100m",0.0
557,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4|T",0.0
556,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4|CLCT",0.0
555,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2|V_10m",0.0
554,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2|V_100m",0.0
553,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2|U_10m",0.0
552,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2|U_100m",0.0
551,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2|T",0.0
550,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2|CLCT",0.0
549,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0|V_10m",0.0
548,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0|V_100m",0.0
547,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0|U_10m",0.0
546,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0|U_100m",0.0
545,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0|T",0.0
514,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6|CLCT",0.0
569,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2|T",0.0
513,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4|V_10m",0.0
510,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4|U_100m",0.0
479,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2|T",0.0
478,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2|CLCT",0.0
476,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0|V_100m",0.0
474,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0|U_100m",0.0
473,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0|T",0.0
471,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4|V_10m",0.0
470,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4|V_100m",0.0
469,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4|U_10m",0.0
468,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4|U_100m",0.0
467,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4|T",0.0
480,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2|U_100m",0.0
466,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4|CLCT",0.0
464,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2|V_100m",0.0
463,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2|U_10m",0.0
462,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2|U_100m",0.0
461,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2|T",0.0
460,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2|CLCT",0.0
459,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0|V_10m",0.0
